asset,btc_delay,btc_r_at_delay,gold_delay,gold_r_at_delay
AAPL,21,0.19095481432979175,124,0.04733510851680336
AMGN,8,0.10543280305195701,7,0.02696247969942846
AMZN,1,0.17118718351958423,124,0.06777957000322825
AXP,4,0.19971281665778307,124,0.021983815154589127
BA,1,0.1590749513149902,124,0.06722025248663918
CAT,1,0.14250353010318,124,0.03207323519099556
CRM,5,0.1764332562522051,124,0.05629218992094332
CSCO,7,0.1671584314148696,124,0.03398818248914299
CVX,6,0.12866864212674325,124,0.09675301641403755
DIS,1,0.20452802047401242,124,0.04589817684190915
GC=F,1,0.0834515358677284,4,0.8905717383812571
GS,1,0.20608923723985995,2046,-0.013801768385328126
HD,31,0.15519655444547062,124,0.0685591944769062
HON,9,0.14732362898541843,124,0.062284115373931574
IBM,10,0.11699446377144261,124,0.03968029427956673
JNJ,528,0.09643267099803489,12,0.05329863009695254
JPM,1,0.16893225943019388,2129,-0.012119479627921979
KO,402,0.09527744358007655,93,0.11215455285255058
MCD,402,0.11322622741372848,122,0.06107314507212378
MMM,1,0.12254783514019736,124,0.044112223138091065
MRK,21,0.08551684338967992,2140,0.018135250976367978
MSFT,5,0.21037242072126638,124,0.043120799103063344
NKE,1,0.1645443043260744,124,0.032283942767707144
NVDA,5,0.19359347765466337,124,0.04461204911286483
PG,528,0.09505661375372937,65,0.09201178654855859
SHW,4,0.10298798477905861,124,0.06467426027894889
TRV,21,0.09558426031723606,104,0.030561637684050316
UNH,187,0.09494492209224652,112,0.023163665671706926
V,14,0.18057571688231724,124,0.025846999881241964
VZ,406,0.08083451523238354,104,0.06864738401675323
WMT,116,0.13020227142996665,122,0.062114757495946256
^IRX,2140,0.12356726824430465,2139,0.1454679499896351
"^TNX
",2078,0.03316425152245751,2129,0.004634637797530991
